	Columba.palumbus	Garrulus.glandarius	Turdus.merula	Phoenicurus.ochruros	Erithacus.rubecula	Parus.ater	Fringilla.coelebs	Sylvia.conspicillata	Sylvia.atricapilla	Turdus.viscivorus	Sylvia.communis	Sylvia.melanocephala	Sylvia.borin	Parus.caeruleus	Phoenicurus.phoenicurus	Parus.cristatus	Parus.major	Sylvia.cantillans	Sitta.europaea	Dendrocopos.major	Unidentified
1933	0	4	6	20	5	20	48	2	7	18	7	2	3	2	2	0	3	0	0	0	0
1931	0	2	1	64	3	10	51	2	2	2	11	0	0	2	13	3	4	1	0	0	1
1932	0	2	3	33	0	21	34	0	0	1	2	1	0	0	6	0	3	1	0	0	0
1934	0	1	0	8	0	8	6	0	0	0	0	0	0	0	2	2	0	0	0	0	0
1936	0	0	2	5	2	0	1	0	0	0	3	4	0	0	0	0	0	1	0	0	0
1937	0	0	20	20	6	4	15	0	1	0	25	3	0	12	7	0	0	3	0	0	0
1938	0	0	8	13	12	4	10	0	3	1	27	7	0	8	5	0	4	4	0	0	0
1939	0	0	6	4	16	5	31	0	1	0	6	1	0	5	0	1	0	1	1	0	0
1940	0	0	4	14	26	3	39	0	6	0	3	4	0	7	1	1	0	0	0	0	0
1921	1	2	3	65	0	0	28	0	1	0	3	0	0	2	42	0	0	0	0	0	2
1823	0	20	11	27	15	59	147	0	2	168	0	0	0	25	3	0	7	0	9	7	1
1824	0	1	16	31	9	6	37	0	1	66	0	0	0	8	3	0	0	0	0	0	2
1820	0	7	1	26	1	2	39	0	0	10	0	0	0	0	1	0	0	0	0	0	0
1825	0	4	1	28	3	10	87	0	0	13	0	0	0	1	2	2	1	0	5	0	0
1929	0	0	0	9	0	0	1	0	0	0	5	0	0	0	2	0	0	0	0	0	0
8801	0	6	4	134	14	21	47	0	0	24	32	0	1	33	13	1	4	27	0	0	0
8808	0	8	5	8	7	33	24	0	1	34	5	0	1	2	3	1	0	2	2	0	0
8814	1	4	25	32	78	5	3	0	0	1	8	0	1	1	0	0	0	1	1	0	0
8865	0	0	5	47	3	41	14	0	0	9	13	0	2	24	7	0	0	1	7	0	0
