"plant"	"frugivore"	"w"
"1"	"1933"	"Columba.palumbus"	0
"2"	"1933"	"Garrulus.glandarius"	4
"3"	"1933"	"Turdus.merula"	6
"4"	"1933"	"Phoenicurus.ochruros"	20
"5"	"1933"	"Erithacus.rubecula"	5
"6"	"1933"	"Parus.ater"	20
"7"	"1933"	"Fringilla.coelebs"	48
"8"	"1933"	"Sylvia.conspicillata"	2
"9"	"1933"	"Sylvia.atricapilla"	7
"10"	"1933"	"Turdus.viscivorus"	18
"11"	"1933"	"Sylvia.communis"	7
"12"	"1933"	"Sylvia.melanocephala"	2
"13"	"1933"	"Sylvia.borin"	3
"14"	"1933"	"Parus.caeruleus"	2
"15"	"1933"	"Phoenicurus.phoenicurus"	2
"16"	"1933"	"Parus.cristatus"	0
"17"	"1933"	"Parus.major"	3
"18"	"1933"	"Sylvia.cantillans"	0
"19"	"1933"	"Sitta.europaea"	0
"20"	"1933"	"Dendrocopos.major"	0
"21"	"1933"	"Unidentified"	0
"22"	"1931"	"Columba.palumbus"	0
"23"	"1931"	"Garrulus.glandarius"	2
"24"	"1931"	"Turdus.merula"	1
"25"	"1931"	"Phoenicurus.ochruros"	64
"26"	"1931"	"Erithacus.rubecula"	3
"27"	"1931"	"Parus.ater"	10
"28"	"1931"	"Fringilla.coelebs"	51
"29"	"1931"	"Sylvia.conspicillata"	2
"30"	"1931"	"Sylvia.atricapilla"	2
"31"	"1931"	"Turdus.viscivorus"	2
"32"	"1931"	"Sylvia.communis"	11
"33"	"1931"	"Sylvia.melanocephala"	0
"34"	"1931"	"Sylvia.borin"	0
"35"	"1931"	"Parus.caeruleus"	2
"36"	"1931"	"Phoenicurus.phoenicurus"	13
"37"	"1931"	"Parus.cristatus"	3
"38"	"1931"	"Parus.major"	4
"39"	"1931"	"Sylvia.cantillans"	1
"40"	"1931"	"Sitta.europaea"	0
"41"	"1931"	"Dendrocopos.major"	0
"42"	"1931"	"Unidentified"	1
"43"	"1932"	"Columba.palumbus"	0
"44"	"1932"	"Garrulus.glandarius"	2
"45"	"1932"	"Turdus.merula"	3
"46"	"1932"	"Phoenicurus.ochruros"	33
"47"	"1932"	"Erithacus.rubecula"	0
"48"	"1932"	"Parus.ater"	21
"49"	"1932"	"Fringilla.coelebs"	34
"50"	"1932"	"Sylvia.conspicillata"	0
"51"	"1932"	"Sylvia.atricapilla"	0
"52"	"1932"	"Turdus.viscivorus"	1
"53"	"1932"	"Sylvia.communis"	2
"54"	"1932"	"Sylvia.melanocephala"	1
"55"	"1932"	"Sylvia.borin"	0
"56"	"1932"	"Parus.caeruleus"	0
"57"	"1932"	"Phoenicurus.phoenicurus"	6
"58"	"1932"	"Parus.cristatus"	0
"59"	"1932"	"Parus.major"	3
"60"	"1932"	"Sylvia.cantillans"	1
"61"	"1932"	"Sitta.europaea"	0
"62"	"1932"	"Dendrocopos.major"	0
"63"	"1932"	"Unidentified"	0
"64"	"1934"	"Columba.palumbus"	0
"65"	"1934"	"Garrulus.glandarius"	1
"66"	"1934"	"Turdus.merula"	0
"67"	"1934"	"Phoenicurus.ochruros"	8
"68"	"1934"	"Erithacus.rubecula"	0
"69"	"1934"	"Parus.ater"	8
"70"	"1934"	"Fringilla.coelebs"	6
"71"	"1934"	"Sylvia.conspicillata"	0
"72"	"1934"	"Sylvia.atricapilla"	0
"73"	"1934"	"Turdus.viscivorus"	0
"74"	"1934"	"Sylvia.communis"	0
"75"	"1934"	"Sylvia.melanocephala"	0
"76"	"1934"	"Sylvia.borin"	0
"77"	"1934"	"Parus.caeruleus"	0
"78"	"1934"	"Phoenicurus.phoenicurus"	2
"79"	"1934"	"Parus.cristatus"	2
"80"	"1934"	"Parus.major"	0
"81"	"1934"	"Sylvia.cantillans"	0
"82"	"1934"	"Sitta.europaea"	0
"83"	"1934"	"Dendrocopos.major"	0
"84"	"1934"	"Unidentified"	0
"85"	"1936"	"Columba.palumbus"	0
"86"	"1936"	"Garrulus.glandarius"	0
"87"	"1936"	"Turdus.merula"	2
"88"	"1936"	"Phoenicurus.ochruros"	5
"89"	"1936"	"Erithacus.rubecula"	2
"90"	"1936"	"Parus.ater"	0
"91"	"1936"	"Fringilla.coelebs"	1
"92"	"1936"	"Sylvia.conspicillata"	0
"93"	"1936"	"Sylvia.atricapilla"	0
"94"	"1936"	"Turdus.viscivorus"	0
"95"	"1936"	"Sylvia.communis"	3
"96"	"1936"	"Sylvia.melanocephala"	4
"97"	"1936"	"Sylvia.borin"	0
"98"	"1936"	"Parus.caeruleus"	0
"99"	"1936"	"Phoenicurus.phoenicurus"	0
"100"	"1936"	"Parus.cristatus"	0
"101"	"1936"	"Parus.major"	0
"102"	"1936"	"Sylvia.cantillans"	1
"103"	"1936"	"Sitta.europaea"	0
"104"	"1936"	"Dendrocopos.major"	0
"105"	"1936"	"Unidentified"	0
"106"	"1937"	"Columba.palumbus"	0
"107"	"1937"	"Garrulus.glandarius"	0
"108"	"1937"	"Turdus.merula"	20
"109"	"1937"	"Phoenicurus.ochruros"	20
"110"	"1937"	"Erithacus.rubecula"	6
"111"	"1937"	"Parus.ater"	4
"112"	"1937"	"Fringilla.coelebs"	15
"113"	"1937"	"Sylvia.conspicillata"	0
"114"	"1937"	"Sylvia.atricapilla"	1
"115"	"1937"	"Turdus.viscivorus"	0
"116"	"1937"	"Sylvia.communis"	25
"117"	"1937"	"Sylvia.melanocephala"	3
"118"	"1937"	"Sylvia.borin"	0
"119"	"1937"	"Parus.caeruleus"	12
"120"	"1937"	"Phoenicurus.phoenicurus"	7
"121"	"1937"	"Parus.cristatus"	0
"122"	"1937"	"Parus.major"	0
"123"	"1937"	"Sylvia.cantillans"	3
"124"	"1937"	"Sitta.europaea"	0
"125"	"1937"	"Dendrocopos.major"	0
"126"	"1937"	"Unidentified"	0
"127"	"1938"	"Columba.palumbus"	0
"128"	"1938"	"Garrulus.glandarius"	0
"129"	"1938"	"Turdus.merula"	8
"130"	"1938"	"Phoenicurus.ochruros"	13
"131"	"1938"	"Erithacus.rubecula"	12
"132"	"1938"	"Parus.ater"	4
"133"	"1938"	"Fringilla.coelebs"	10
"134"	"1938"	"Sylvia.conspicillata"	0
"135"	"1938"	"Sylvia.atricapilla"	3
"136"	"1938"	"Turdus.viscivorus"	1
"137"	"1938"	"Sylvia.communis"	27
"138"	"1938"	"Sylvia.melanocephala"	7
"139"	"1938"	"Sylvia.borin"	0
"140"	"1938"	"Parus.caeruleus"	8
"141"	"1938"	"Phoenicurus.phoenicurus"	5
"142"	"1938"	"Parus.cristatus"	0
"143"	"1938"	"Parus.major"	4
"144"	"1938"	"Sylvia.cantillans"	4
"145"	"1938"	"Sitta.europaea"	0
"146"	"1938"	"Dendrocopos.major"	0
"147"	"1938"	"Unidentified"	0
"148"	"1939"	"Columba.palumbus"	0
"149"	"1939"	"Garrulus.glandarius"	0
"150"	"1939"	"Turdus.merula"	6
"151"	"1939"	"Phoenicurus.ochruros"	4
"152"	"1939"	"Erithacus.rubecula"	16
"153"	"1939"	"Parus.ater"	5
"154"	"1939"	"Fringilla.coelebs"	31
"155"	"1939"	"Sylvia.conspicillata"	0
"156"	"1939"	"Sylvia.atricapilla"	1
"157"	"1939"	"Turdus.viscivorus"	0
"158"	"1939"	"Sylvia.communis"	6
"159"	"1939"	"Sylvia.melanocephala"	1
"160"	"1939"	"Sylvia.borin"	0
"161"	"1939"	"Parus.caeruleus"	5
"162"	"1939"	"Phoenicurus.phoenicurus"	0
"163"	"1939"	"Parus.cristatus"	1
"164"	"1939"	"Parus.major"	0
"165"	"1939"	"Sylvia.cantillans"	1
"166"	"1939"	"Sitta.europaea"	1
"167"	"1939"	"Dendrocopos.major"	0
"168"	"1939"	"Unidentified"	0
"169"	"1940"	"Columba.palumbus"	0
"170"	"1940"	"Garrulus.glandarius"	0
"171"	"1940"	"Turdus.merula"	4
"172"	"1940"	"Phoenicurus.ochruros"	14
"173"	"1940"	"Erithacus.rubecula"	26
"174"	"1940"	"Parus.ater"	3
"175"	"1940"	"Fringilla.coelebs"	39
"176"	"1940"	"Sylvia.conspicillata"	0
"177"	"1940"	"Sylvia.atricapilla"	6
"178"	"1940"	"Turdus.viscivorus"	0
"179"	"1940"	"Sylvia.communis"	3
"180"	"1940"	"Sylvia.melanocephala"	4
"181"	"1940"	"Sylvia.borin"	0
"182"	"1940"	"Parus.caeruleus"	7
"183"	"1940"	"Phoenicurus.phoenicurus"	1
"184"	"1940"	"Parus.cristatus"	1
"185"	"1940"	"Parus.major"	0
"186"	"1940"	"Sylvia.cantillans"	0
"187"	"1940"	"Sitta.europaea"	0
"188"	"1940"	"Dendrocopos.major"	0
"189"	"1940"	"Unidentified"	0
"190"	"1921"	"Columba.palumbus"	1
"191"	"1921"	"Garrulus.glandarius"	2
"192"	"1921"	"Turdus.merula"	3
"193"	"1921"	"Phoenicurus.ochruros"	65
"194"	"1921"	"Erithacus.rubecula"	0
"195"	"1921"	"Parus.ater"	0
"196"	"1921"	"Fringilla.coelebs"	28
"197"	"1921"	"Sylvia.conspicillata"	0
"198"	"1921"	"Sylvia.atricapilla"	1
"199"	"1921"	"Turdus.viscivorus"	0
"200"	"1921"	"Sylvia.communis"	3
"201"	"1921"	"Sylvia.melanocephala"	0
"202"	"1921"	"Sylvia.borin"	0
"203"	"1921"	"Parus.caeruleus"	2
"204"	"1921"	"Phoenicurus.phoenicurus"	42
"205"	"1921"	"Parus.cristatus"	0
"206"	"1921"	"Parus.major"	0
"207"	"1921"	"Sylvia.cantillans"	0
"208"	"1921"	"Sitta.europaea"	0
"209"	"1921"	"Dendrocopos.major"	0
"210"	"1921"	"Unidentified"	2
"211"	"1823"	"Columba.palumbus"	0
"212"	"1823"	"Garrulus.glandarius"	20
"213"	"1823"	"Turdus.merula"	11
"214"	"1823"	"Phoenicurus.ochruros"	27
"215"	"1823"	"Erithacus.rubecula"	15
"216"	"1823"	"Parus.ater"	59
"217"	"1823"	"Fringilla.coelebs"	147
"218"	"1823"	"Sylvia.conspicillata"	0
"219"	"1823"	"Sylvia.atricapilla"	2
"220"	"1823"	"Turdus.viscivorus"	168
"221"	"1823"	"Sylvia.communis"	0
"222"	"1823"	"Sylvia.melanocephala"	0
"223"	"1823"	"Sylvia.borin"	0
"224"	"1823"	"Parus.caeruleus"	25
"225"	"1823"	"Phoenicurus.phoenicurus"	3
"226"	"1823"	"Parus.cristatus"	0
"227"	"1823"	"Parus.major"	7
"228"	"1823"	"Sylvia.cantillans"	0
"229"	"1823"	"Sitta.europaea"	9
"230"	"1823"	"Dendrocopos.major"	7
"231"	"1823"	"Unidentified"	1
"232"	"1824"	"Columba.palumbus"	0
"233"	"1824"	"Garrulus.glandarius"	1
"234"	"1824"	"Turdus.merula"	16
"235"	"1824"	"Phoenicurus.ochruros"	31
"236"	"1824"	"Erithacus.rubecula"	9
"237"	"1824"	"Parus.ater"	6
"238"	"1824"	"Fringilla.coelebs"	37
"239"	"1824"	"Sylvia.conspicillata"	0
"240"	"1824"	"Sylvia.atricapilla"	1
"241"	"1824"	"Turdus.viscivorus"	66
"242"	"1824"	"Sylvia.communis"	0
"243"	"1824"	"Sylvia.melanocephala"	0
"244"	"1824"	"Sylvia.borin"	0
"245"	"1824"	"Parus.caeruleus"	8
"246"	"1824"	"Phoenicurus.phoenicurus"	3
"247"	"1824"	"Parus.cristatus"	0
"248"	"1824"	"Parus.major"	0
"249"	"1824"	"Sylvia.cantillans"	0
"250"	"1824"	"Sitta.europaea"	0
"251"	"1824"	"Dendrocopos.major"	0
"252"	"1824"	"Unidentified"	2
"253"	"1820"	"Columba.palumbus"	0
"254"	"1820"	"Garrulus.glandarius"	7
"255"	"1820"	"Turdus.merula"	1
"256"	"1820"	"Phoenicurus.ochruros"	26
"257"	"1820"	"Erithacus.rubecula"	1
"258"	"1820"	"Parus.ater"	2
"259"	"1820"	"Fringilla.coelebs"	39
"260"	"1820"	"Sylvia.conspicillata"	0
"261"	"1820"	"Sylvia.atricapilla"	0
"262"	"1820"	"Turdus.viscivorus"	10
"263"	"1820"	"Sylvia.communis"	0
"264"	"1820"	"Sylvia.melanocephala"	0
"265"	"1820"	"Sylvia.borin"	0
"266"	"1820"	"Parus.caeruleus"	0
"267"	"1820"	"Phoenicurus.phoenicurus"	1
"268"	"1820"	"Parus.cristatus"	0
"269"	"1820"	"Parus.major"	0
"270"	"1820"	"Sylvia.cantillans"	0
"271"	"1820"	"Sitta.europaea"	0
"272"	"1820"	"Dendrocopos.major"	0
"273"	"1820"	"Unidentified"	0
"274"	"1825"	"Columba.palumbus"	0
"275"	"1825"	"Garrulus.glandarius"	4
"276"	"1825"	"Turdus.merula"	1
"277"	"1825"	"Phoenicurus.ochruros"	28
"278"	"1825"	"Erithacus.rubecula"	3
"279"	"1825"	"Parus.ater"	10
"280"	"1825"	"Fringilla.coelebs"	87
"281"	"1825"	"Sylvia.conspicillata"	0
"282"	"1825"	"Sylvia.atricapilla"	0
"283"	"1825"	"Turdus.viscivorus"	13
"284"	"1825"	"Sylvia.communis"	0
"285"	"1825"	"Sylvia.melanocephala"	0
"286"	"1825"	"Sylvia.borin"	0
"287"	"1825"	"Parus.caeruleus"	1
"288"	"1825"	"Phoenicurus.phoenicurus"	2
"289"	"1825"	"Parus.cristatus"	2
"290"	"1825"	"Parus.major"	1
"291"	"1825"	"Sylvia.cantillans"	0
"292"	"1825"	"Sitta.europaea"	5
"293"	"1825"	"Dendrocopos.major"	0
"294"	"1825"	"Unidentified"	0
"295"	"1929"	"Columba.palumbus"	0
"296"	"1929"	"Garrulus.glandarius"	0
"297"	"1929"	"Turdus.merula"	0
"298"	"1929"	"Phoenicurus.ochruros"	9
"299"	"1929"	"Erithacus.rubecula"	0
"300"	"1929"	"Parus.ater"	0
"301"	"1929"	"Fringilla.coelebs"	1
"302"	"1929"	"Sylvia.conspicillata"	0
"303"	"1929"	"Sylvia.atricapilla"	0
"304"	"1929"	"Turdus.viscivorus"	0
"305"	"1929"	"Sylvia.communis"	5
"306"	"1929"	"Sylvia.melanocephala"	0
"307"	"1929"	"Sylvia.borin"	0
"308"	"1929"	"Parus.caeruleus"	0
"309"	"1929"	"Phoenicurus.phoenicurus"	2
"310"	"1929"	"Parus.cristatus"	0
"311"	"1929"	"Parus.major"	0
"312"	"1929"	"Sylvia.cantillans"	0
"313"	"1929"	"Sitta.europaea"	0
"314"	"1929"	"Dendrocopos.major"	0
"315"	"1929"	"Unidentified"	0
"316"	"8801"	"Columba.palumbus"	0
"317"	"8801"	"Garrulus.glandarius"	6
"318"	"8801"	"Turdus.merula"	4
"319"	"8801"	"Phoenicurus.ochruros"	134
"320"	"8801"	"Erithacus.rubecula"	14
"321"	"8801"	"Parus.ater"	21
"322"	"8801"	"Fringilla.coelebs"	47
"323"	"8801"	"Sylvia.conspicillata"	0
"324"	"8801"	"Sylvia.atricapilla"	0
"325"	"8801"	"Turdus.viscivorus"	24
"326"	"8801"	"Sylvia.communis"	32
"327"	"8801"	"Sylvia.melanocephala"	0
"328"	"8801"	"Sylvia.borin"	1
"329"	"8801"	"Parus.caeruleus"	33
"330"	"8801"	"Phoenicurus.phoenicurus"	13
"331"	"8801"	"Parus.cristatus"	1
"332"	"8801"	"Parus.major"	4
"333"	"8801"	"Sylvia.cantillans"	27
"334"	"8801"	"Sitta.europaea"	0
"335"	"8801"	"Dendrocopos.major"	0
"336"	"8801"	"Unidentified"	0
"337"	"8808"	"Columba.palumbus"	0
"338"	"8808"	"Garrulus.glandarius"	8
"339"	"8808"	"Turdus.merula"	5
"340"	"8808"	"Phoenicurus.ochruros"	8
"341"	"8808"	"Erithacus.rubecula"	7
"342"	"8808"	"Parus.ater"	33
"343"	"8808"	"Fringilla.coelebs"	24
"344"	"8808"	"Sylvia.conspicillata"	0
